,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
370,bikenibeu village,ki,1.3673,173.1241,82.36,83,75,6.91,1725565799
371,nagqu,cn,31.5,92.0,41.09,93,100,9.4,1725565799
372,lozova,ua,48.8894,36.3176,68.74,37,100,17.22,1725565799
373,chake chake,tz,-5.2459,39.7666,73.76,90,15,7.9,1725565799
374,isabela,pr,6.7085,121.9711,78.62,88,88,4.97,1725565706
375,tyukhtet,ru,56.5389,89.3011,47.1,94,94,7.27,1725565800
376,le morne-rouge,mq,14.7667,-61.1333,83.77,72,50,4.21,1725565800
377,barra de santo antonio,br,-9.4047,-35.5072,77.41,64,64,6.96,1725565800
378,chernigovka,ru,44.3389,132.5728,50.95,90,0,3.85,1725565800
379,petropavlovsk-kamchatsky,ru,53.0452,158.6483,50.59,100,0,2.24,1725565800
380,viedma,ar,-40.8135,-62.9967,64.42,22,100,20.22,1725565716
381,acapulco de juarez,mx,16.8634,-99.8901,87.62,70,75,5.75,1725565793
382,al kharj,sa,24.155,47.3346,93.78,15,61,7.02,1725565801
383,miyaly,kz,48.8844,53.7836,56.61,46,0,11.74,1725565801
384,mazouna,dz,36.1223,0.8987,78.8,51,0,3.87,1725565801
385,yurga,ru,55.7231,84.8861,48.7,97,100,8.55,1725565801
386,vrapciste,mk,41.8339,20.8853,66.92,70,100,6.22,1725565801
387,huntington,us,38.4193,-82.4452,89.91,33,0,7.0,1725565802
388,wynyard,au,-41.0,145.7167,55.18,96,100,12.82,1725565802
389,juan griego,ve,11.0817,-63.9655,93.33,49,0,13.8,1725565802
390,labasa,fj,-16.4167,179.3833,72.99,66,92,8.52,1725565802
391,pimentel,pe,-6.8367,-79.9342,71.89,60,20,12.66,1725565802
392,lospalos,tl,-8.5186,127.0025,69.01,96,33,4.79,1725565803
393,harstad,no,68.799,16.5293,50.61,85,54,28.99,1725565803
394,shalya,ru,57.2471,58.7298,43.21,95,16,3.67,1725565803
395,sol'-iletsk,ru,51.1631,54.9918,50.16,66,5,8.1,1725565803
396,pangody,ru,65.85,74.4859,46.31,89,94,8.86,1725565803
397,port saint john's,za,-31.6229,29.5448,64.63,84,100,14.23,1725565803
398,sitangkai,ph,4.6628,119.3928,83.52,80,50,14.99,1725565804
399,gisborne,nz,-38.6533,178.0042,45.79,70,3,6.35,1725565656
400,bamboo flat,in,11.7,92.7167,82.49,83,75,12.66,1725565804
401,sabha,ly,27.0377,14.4283,90.64,31,78,7.18,1725565804
402,tamanrasset,dz,22.785,5.5228,76.91,61,40,17.27,1725565804
403,az zawr,kw,29.4425,48.2747,97.02,44,5,14.05,1725565804
404,darwin,au,-12.4611,130.8418,76.98,78,75,3.44,1725565623
405,ullal,in,12.8,74.85,77.95,88,75,0.0,1725565805
406,kaduna,ng,10.5222,7.4383,72.23,90,100,3.96,1725565805
407,vallenar,cl,-28.5708,-70.7581,88.74,12,9,5.61,1725565572
408,shimoda,jp,34.6667,138.95,76.93,88,75,9.1,1725565805
409,crateus,br,-5.1783,-40.6775,94.51,19,44,6.55,1725565805
410,luckeesarai,in,25.1833,86.0833,82.45,79,100,4.59,1725565806
411,tromso,no,69.6496,18.957,55.42,71,0,18.41,1725565593
412,camabatela,ao,-8.1881,15.375,71.1,51,74,6.08,1725565806
413,venado,mx,22.9333,-101.0833,70.7,66,100,5.68,1725565806
414,zakynthos,gr,37.7914,20.8953,78.12,73,20,0.0,1725565806
415,sao tome,st,0.3365,6.7273,77.92,85,96,9.15,1725565806
416,berdigestyakh,ru,62.0989,126.6992,38.34,87,100,8.68,1725565807
417,illizi,dz,26.4833,8.4667,82.29,52,97,9.4,1725565807
418,bodden town,ky,19.2833,-81.25,86.0,84,75,12.66,1725565807
419,aripuana,br,-9.1667,-60.6333,104.36,12,0,4.79,1725565601
420,lerwick,gb,60.1545,-1.1494,53.94,94,2,11.88,1725565808
421,sarlat-la-caneda,fr,44.889,1.2166,56.8,77,100,1.59,1725565808
422,flin flon,ca,54.7682,-101.865,57.04,62,75,13.8,1725565809
423,calatayud,es,41.3535,-1.6432,66.24,62,100,6.22,1725565809
424,aromashevo,ru,56.8602,68.6375,46.27,86,78,6.8,1725565809
425,kozhevnikovo,ru,56.2589,83.9714,48.25,85,81,9.82,1725565809
426,jiaojiang,cn,28.6803,121.4428,78.62,89,48,4.59,1725565809
427,primero de mayo,mx,-32.2552,-58.4228,66.81,35,0,8.46,1725565809
428,cornwall,ca,45.0181,-74.7281,78.91,44,0,9.22,1725565568
429,fort payne,us,34.4442,-85.7197,84.31,53,40,9.22,1725565810
430,mersa matruh,eg,31.3525,27.2453,80.8,78,40,11.5,1725565810
431,sierra vista,us,31.5545,-110.3037,93.72,25,0,14.97,1725565810
432,mohale's hoek,ls,-30.1514,27.4769,55.45,28,3,1.14,1725565810
433,banamba,ml,13.55,-7.45,75.18,91,100,7.9,1725565811
434,vydrino,ru,51.485,104.8461,51.94,75,65,6.91,1725565811
435,mount pearl,ca,47.5166,-52.7813,70.32,47,20,12.66,1725565560
436,senanga,zm,-16.1167,23.2667,64.36,17,6,5.68,1725565811
437,santa ana,ph,33.7456,-117.8678,103.84,40,20,5.99,1725565811
438,waingapu,id,-9.6567,120.2641,76.05,86,18,8.99,1725565811
439,tanjung selor,id,2.8372,117.3642,74.66,96,88,1.99,1725565812
440,itupiranga,br,-5.1347,-49.3267,99.57,18,11,2.77,1725565646
441,luchegorsk,ru,46.4764,134.2569,47.37,93,0,4.79,1725565812
442,eureka,us,40.8021,-124.1637,65.59,78,100,5.77,1725565643
443,betio village,ki,1.358,172.9211,82.44,76,100,10.45,1725565812
444,san mariano,ph,7.5,126.0,73.2,93,100,1.86,1725565812
445,dauphin,ca,51.1494,-100.0502,62.74,63,75,11.5,1725565813
446,waspan,ni,14.7419,-83.9717,78.33,95,100,4.03,1725565813
447,hilton head island,us,32.2163,-80.7526,82.0,79,100,11.5,1725565624
448,micheweni,tz,-4.9667,39.8333,75.02,89,34,9.95,1725565813
449,faranah,gn,10.0404,-10.7434,71.74,98,100,9.86,1725565813
450,isiro,cd,2.7739,27.616,66.94,98,100,2.17,1725565813
451,honefoss,no,60.168,10.2565,63.5,84,1,2.46,1725565814
452,chiang rai,th,19.9167,99.9167,75.58,100,40,2.3,1725565814
453,bogale,mm,16.2833,95.4,77.32,94,99,7.54,1725565814
454,port-saint-louis-du-rhone,fr,43.3833,4.8,70.03,73,0,3.44,1725565814
455,claremont,us,34.0967,-117.7198,109.24,20,0,9.22,1725565814
456,karatuzskoye,ru,53.6072,92.8667,52.99,84,100,1.61,1725565815
457,novodvinsk,ru,64.4165,40.8122,62.35,76,18,7.63,1725565815
458,kogalym,ru,62.2654,74.4791,43.59,77,100,2.3,1725565815
459,urengoy,ru,65.9667,78.3667,44.78,92,73,8.34,1725565815
460,barra dos coqueiros,br,-10.9089,-37.0386,82.42,57,40,13.8,1725565815
461,ciamis,id,-7.3257,108.3534,70.99,97,59,0.98,1725565815
462,douglas,us,41.3,-96.167,78.58,71,0,8.05,1725565553
463,churapcha,ru,62.0025,132.4325,41.92,77,100,11.14,1725565816
464,wotho,mh,10.1657,166.0102,83.82,78,100,20.51,1725565816
465,bodaybo,ru,57.8506,114.1933,44.56,96,100,3.89,1725565816
466,aginskoye,ru,51.1,114.53,44.8,81,0,6.06,1725565817
467,guiuan,ph,11.0333,125.7247,84.52,75,100,15.7,1725565817
468,a estrada,es,42.6833,-8.4833,56.59,90,100,2.42,1725565732
469,jablonec nad nisou,cz,50.7243,15.1711,69.28,46,0,13.73,1725565817
470,qarqaraly,kz,49.4058,75.4742,42.82,82,99,12.41,1725565817
471,praia da vitoria,pt,38.7333,-27.0667,73.76,73,75,11.63,1725565569
472,pokhara,np,28.2333,83.9833,68.9,90,100,0.81,1725565818
473,along,in,28.1667,94.7667,68.23,98,100,1.12,1725565818
474,tanabe,jp,33.7333,135.3667,73.69,93,100,4.12,1725565818
475,raja,ss,8.4596,25.678,69.96,95,90,3.53,1725565818
476,porto velho,br,-8.7619,-63.9039,98.65,28,13,8.05,1725565731
477,saurimo,ao,-9.6608,20.3916,70.9,23,58,3.62,1725565818
478,santa elena de uairen,ve,4.6167,-61.1333,80.62,52,55,6.91,1725565819
479,fruitland,us,38.3221,-75.6202,73.98,72,100,11.5,1725565819
480,la'ie,us,21.6477,-157.9253,85.96,71,0,4.0,1725565819
481,hagere maryam,et,5.6333,38.2333,58.48,79,31,3.2,1725565819
482,kota bharu,my,6.1333,102.2386,76.98,94,20,2.3,1725565605
483,sao jose da coroa grande,br,-8.8978,-35.1478,76.42,71,100,8.34,1725565820
484,hafnarfjordur,is,64.0671,-21.9377,50.11,81,75,13.8,1725565820
485,adigrat,et,14.277,39.462,59.95,76,8,1.61,1725565820
486,ivins,us,37.1686,-113.6794,95.16,14,0,3.0,1725565821
487,touros,br,-5.1989,-35.4608,78.1,68,28,13.4,1725565821
488,nsanje,mw,-16.92,35.262,72.82,68,5,3.62,1725565821
489,deuchendorf,at,47.4649,15.3196,69.3,58,100,2.28,1725565821
490,lincoln city,us,44.9582,-124.0179,79.36,50,85,4.0,1725565821
491,dunedin,nz,-45.8742,170.5036,50.81,76,52,3.0,1725565821
492,fisterra,es,42.9049,-9.2629,62.55,66,99,16.33,1725565822
493,sylvania,us,41.7189,-83.713,85.82,42,75,12.66,1725565822
494,nadigaon,in,26.1167,79.0333,81.81,83,94,4.7,1725565822
495,koupela,bf,12.1794,-0.3517,77.13,85,100,7.05,1725565822
496,opuwo,na,-18.0607,13.84,68.95,16,0,2.3,1725565822
497,emerald,au,-23.5333,148.1667,61.34,78,83,8.59,1725565822
498,san carlos de bariloche,ar,-41.1456,-71.3082,40.75,87,75,24.16,1725565612
499,chui,uy,-33.6971,-53.4616,54.88,63,6,4.97,1725565823
500,bellmead,us,31.594,-97.1089,89.26,61,75,13.8,1725565823
501,torghay,kz,49.6339,63.4981,50.92,67,9,11.88,1725565823
502,smirnykh,ru,49.75,142.8333,52.77,85,9,10.18,1725565823
503,teguise,es,29.0605,-13.564,70.02,73,20,14.97,1725565824
504,chibougamau,ca,49.9168,-74.3659,74.82,41,0,14.97,1725565638
505,nantucket,us,41.2835,-70.0995,69.91,64,0,13.8,1725565578
506,fort bragg,us,35.139,-79.006,80.91,69,100,9.22,1725565824
507,york beach,us,43.1717,-70.6089,75.97,52,0,11.68,1725565824
508,belyy yar,ru,53.6039,91.3903,55.29,94,0,4.47,1725565824
509,dedougou,bf,12.4667,-3.4667,76.98,84,100,6.51,1725565825
510,sumbawa besar,id,-8.5,117.4333,69.87,89,21,4.25,1725565825
511,aasiaat,gl,68.7098,-52.8699,38.41,78,100,20.27,1725565825
512,sisimiut,gl,66.9395,-53.6735,39.97,97,100,5.37,1725565825
513,paramonga,pe,-10.6667,-77.8333,66.04,68,1,9.4,1725565825
514,coruripe,br,-10.1256,-36.1756,75.27,67,20,7.56,1725565826
515,akjoujt,mr,19.6969,-14.4164,98.02,16,100,7.94,1725565826
516,prairie view,us,30.0933,-95.9877,85.6,78,61,13.27,1725565743
517,medicine hat,ca,50.0501,-110.6683,78.22,36,20,8.05,1725565463
518,badiyah,om,22.45,58.8,84.34,61,37,5.59,1725565826
519,plainfield,us,40.6168,-74.4173,79.09,53,0,4.0,1725565826
520,pacific grove,us,36.6177,-121.9166,82.08,75,0,5.75,1725565827
521,daru,pg,-9.0763,143.2092,77.45,88,94,17.76,1725565827
522,djibouti,dj,11.5,42.5,90.61,41,6,5.61,1725565827
523,ahuachapan,sv,13.9214,-89.845,88.0,77,100,5.17,1725565827
524,elliot lake,ca,46.3834,-82.6331,76.14,33,86,9.13,1725565827
525,kruisfontein,za,-34.0033,24.7314,51.06,61,8,13.69,1725565737
526,zelenoborskiy,ru,66.845,32.3622,59.14,92,43,4.72,1725565828
527,motygino,ru,58.1831,94.7592,42.37,86,7,2.55,1725565828
528,alakurtti,ru,66.9672,30.3491,57.92,95,10,3.13,1725565828
529,kattivakkam,in,13.2167,80.3167,84.29,89,100,9.86,1725565828
530,vilhena,br,-12.7406,-60.1458,88.02,42,100,12.66,1725565828
531,mazamari,pe,-11.3258,-74.5308,92.19,31,96,1.97,1725565828
532,ishimbay,ru,53.4545,56.0415,45.32,89,7,3.42,1725565829
533,westport,ie,41.1415,-73.3579,76.87,45,0,12.66,1725565829
534,ambovombe,mg,-25.1667,46.0833,71.44,73,0,6.64,1725565829
535,nev'yansk,ru,57.4953,60.2112,43.75,89,14,3.0,1725565829
536,jeddah,sa,21.5169,39.2192,94.86,41,40,8.05,1725565568
537,yreka,us,41.7354,-122.6345,95.49,16,0,0.0,1725565829
538,san juan bautista,py,-14.0108,-75.7358,76.73,35,0,12.82,1725565673
539,mashhad,ir,36.297,59.6062,75.34,25,0,11.5,1725565830
540,arti,ru,56.4234,58.5328,50.18,74,99,5.53,1725565830
541,whangarei,nz,-35.7317,174.3239,51.51,91,84,4.03,1725565830
542,uchaly,ru,54.2996,59.4521,46.81,68,100,7.81,1725565831
543,villanueva,mx,15.3167,-88.0,92.39,59,40,6.91,1725565831
544,valparaiso,cl,-33.0393,-71.6273,79.14,36,0,12.66,1725565663
545,chernyshevskiy,ru,63.0128,112.4714,29.34,90,20,3.11,1725565831
546,urangan,au,-25.3,152.9,66.99,69,12,6.46,1725565831
547,thames,nz,-37.1333,175.5333,50.31,92,39,4.21,1725565832
548,ardestan,ir,33.3761,52.3694,80.92,4,0,4.14,1725565832
549,faya-largeau,td,17.9257,19.1043,93.85,41,46,4.83,1725565832
550,sao caetano de odivelas,br,-0.75,-48.02,85.95,65,37,10.92,1725565832
551,ulladulla,au,-35.35,150.4667,63.36,54,0,6.58,1725565832
552,hami,cn,42.8,93.45,69.78,20,0,8.55,1725565833
553,abu zabad,sd,12.35,29.25,73.33,89,100,6.17,1725565833
554,al hayy,iq,32.1735,46.0433,93.56,19,0,16.06,1725565833
555,nikolayevsk-on-amure,ru,53.1406,140.73,49.68,78,55,9.35,1725565833
556,petrovsk,ru,52.3064,45.3917,51.57,51,0,8.01,1725565833
557,port-vila,vu,-17.7338,168.3219,65.8,72,75,8.05,1725565833
558,puerto san jose,gt,13.9256,-90.8244,91.45,68,75,4.61,1725565834
559,chaman,pk,30.9236,66.4512,79.66,16,0,8.46,1725565834
560,poso,id,-1.3959,120.7524,76.64,89,94,3.87,1725565592
561,las tablas,pa,7.7667,-80.2833,84.61,73,100,0.4,1725565834
562,vadso,no,70.0744,29.7487,50.16,76,0,5.75,1725565834
563,sovet,tj,38.0467,69.5882,75.22,23,0,9.06,1725565834
